"SalePrice","YearBuilt","YrSold","MonthSold","Size.sqf.","Floor","HallwayType","HeatingType","AptManageType","N_Parkinglot.Ground.","N_Parkinglot.Basement.","TimeToBusStop","TimeToSubway","N_APT","N_manager","N_elevators","SubwayStation","N_FacilitiesNearBy.PublicOffice.","N_FacilitiesNearBy.Hospital.","N_FacilitiesNearBy.Dpartmentstore.","N_FacilitiesNearBy.Mall.","N_FacilitiesNearBy.ETC.","N_FacilitiesNearBy.Park.","N_SchoolNearBy.Elementary.","N_SchoolNearBy.Middle.","N_SchoolNearBy.High.","N_SchoolNearBy.University.","N_FacilitiesInApt","N_FacilitiesNearBy.Total.","N_SchoolNearBy.Total.","Size.p.","Price.per.Size","DateSold","DateBuilt","Prob_elevators"
92035,1993,2007,9,644,20,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,18,5113.05555555556,2007-09-01,1993-01-01,2.525
181061,2007,2007,9,868,18,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0~5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10,24,7544.20833333333,2007-09-01,2007-01-01,2.31428571428571
165486,1986,2007,9,1131,7,"terraced","central_heating","management_in_trust",713,0,"0~5min","5min~10min",7,8,27,"Kyungbuk_uni_hospital",5,1,1,0,1,1,3,1,1,1,4,9,6,32,5171.4375,2007-09-01,1986-01-01,3.88571428571429
198230,2007,2007,9,868,12,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0~5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10,24,8259.58333333333,2007-09-01,2007-01-01,2.31428571428571
185840,2007,2007,9,868,3,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0~5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10,24,7743.33333333333,2007-09-01,2007-01-01,2.31428571428571
448672,2007,2007,9,1643,39,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0~5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10,46,9753.73913043478,2007-09-01,2007-01-01,2.31428571428571
371681,2007,2007,9,1387,38,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0~5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10,39,9530.28205128205,2007-09-01,2007-01-01,2.31428571428571
167964,2006,2007,9,903,10,"terraced","individual_heating","management_in_trust",123,181,"10min~15min","0~5min",3,3,11,"Myung-duk",3,1,1,1,2,0,4,3,3,1,4,8,11,25,6718.56,2007-09-01,2006-01-01,3.73333333333333
198230,2007,2007,9,868,13,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0~5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10,24,8259.58333333333,2007-09-01,2007-01-01,2.31428571428571
74336,1997,2007,10,644,15,"mixed","individual_heating","management_in_trust",82,56,"10min~15min","10min~15min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7,18,4129.77777777778,2007-10-01,1997-01-01,4.2
46902,1985,2007,10,587,5,"corridor","individual_heating","self_management",80,76,"0~5min","15min~20min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4,16,2931.375,2007-10-01,1985-01-01,2.2
61946,1985,2007,10,676,7,"corridor","individual_heating","self_management",80,76,"0~5min","15min~20min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4,19,3260.31578947368,2007-10-01,1985-01-01,2.2
292035,2006,2007,10,2056,2,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0~5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7,58,5035.08620689655,2007-10-01,2006-01-01,1.86666666666667
221238,1993,2007,10,1761,15,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,49,4515.0612244898,2007-10-01,1993-01-01,2.525
38495,1992,2007,10,355,13,"corridor","individual_heating","management_in_trust",200,0,"10min~15min","5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17,10,3849.5,2007-10-01,1992-01-01,3.4
60619,1992,2007,10,576,2,"corridor","individual_heating","management_in_trust",200,0,"10min~15min","5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17,16,3788.6875,2007-10-01,1992-01-01,3.4
138053,1993,2007,10,914,9,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,26,5309.73076923077,2007-10-01,1993-01-01,2.525
39823,1992,2007,10,355,5,"corridor","individual_heating","management_in_trust",200,0,"10min~15min","5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17,10,3982.3,2007-10-01,1992-01-01,3.4
36283,1992,2007,10,355,1,"corridor","individual_heating","management_in_trust",200,0,"10min~15min","5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17,10,3628.3,2007-10-01,1992-01-01,3.4
92920,1993,2007,10,644,18,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,18,5162.22222222222,2007-10-01,1993-01-01,2.525
176991,1993,2007,10,1451,17,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,41,4316.85365853659,2007-10-01,1993-01-01,2.525
134513,1993,2007,10,914,16,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,26,5173.57692307692,2007-10-01,1993-01-01,2.525
77876,1992,2007,10,644,7,"mixed","individual_heating","self_management",142,79,"10min~15min","10min~15min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14,18,4326.44444444444,2007-10-01,1992-01-01,2.73333333333333
85840,1993,2007,10,644,17,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,18,4768.88888888889,2007-10-01,1993-01-01,2.525
141592,1992,2007,10,1448,11,"mixed","individual_heating","self_management",142,79,"10min~15min","10min~15min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14,41,3453.46341463415,2007-10-01,1992-01-01,2.73333333333333
98230,1993,2007,10,644,12,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,18,5457.22222222222,2007-10-01,1993-01-01,2.525
35398,1992,2007,10,355,8,"corridor","individual_heating","management_in_trust",200,0,"10min~15min","5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17,10,3539.8,2007-10-01,1992-01-01,3.4
159292,1993,2007,10,1288,15,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,36,4424.77777777778,2007-10-01,1993-01-01,2.525
95575,1993,2007,10,644,14,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,18,5309.72222222222,2007-10-01,1993-01-01,2.525
147787,2005,2007,10,743,8,"mixed","individual_heating","management_in_trust",67,798,"0~5min","15min~20min",8,6,0,"Bangoge",5,2,0,1,5,0,3,4,4,4,7,13,15,21,7037.47619047619,2007-10-01,2005-01-01,0.025
340707,2007,2007,10,1387,42,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0~5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10,39,8736.07692307692,2007-10-01,2007-01-01,2.31428571428571
197345,2007,2007,10,868,7,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0~5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10,24,8222.70833333333,2007-10-01,2007-01-01,2.31428571428571
181415,2007,2007,10,868,7,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0~5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10,24,7558.95833333333,2007-10-01,2007-01-01,2.31428571428571
346017,2007,2007,10,1387,28,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0~5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10,39,8872.23076923077,2007-10-01,2007-01-01,2.31428571428571
55752,1985,2007,11,587,9,"corridor","individual_heating","self_management",80,76,"0~5min","15min~20min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4,16,3484.5,2007-11-01,1985-01-01,2.2
347787,2007,2007,11,1334,10,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,37,9399.64864864865,2007-11-01,2007-01-01,2.6
347787,2007,2007,11,1334,17,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,37,9399.64864864865,2007-11-01,2007-01-01,2.6
383185,2007,2007,11,1444,16,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,41,9345.9756097561,2007-11-01,2007-01-01,2.6
462831,2007,2007,11,1690,22,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,47,9847.46808510638,2007-11-01,2007-01-01,2.6
407079,2007,2007,11,1629,4,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,46,8849.54347826087,2007-11-01,2007-01-01,2.6
360176,2007,2007,11,1483,4,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,42,8575.61904761905,2007-11-01,2007-01-01,2.6
315929,2007,2007,11,1334,3,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,37,8538.62162162162,2007-11-01,2007-01-01,2.6
289380,2007,2007,11,1273,3,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,36,8038.33333333333,2007-11-01,2007-01-01,2.6
348672,2007,2007,11,1483,3,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,42,8301.71428571429,2007-11-01,2007-01-01,2.6
465486,2007,2007,11,1690,25,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,47,9903.95744680851,2007-11-01,2007-01-01,2.6
393805,2007,2007,11,1629,3,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,46,8560.97826086957,2007-11-01,2007-01-01,2.6
408849,2007,2007,11,1690,3,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,47,8698.91489361702,2007-11-01,2007-01-01,2.6
348672,2007,2007,11,1483,3,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,42,8301.71428571429,2007-11-01,2007-01-01,2.6
371681,2007,2007,11,1483,9,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,42,8849.54761904762,2007-11-01,2007-01-01,2.6
326548,2007,2007,11,1334,4,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,37,8825.62162162162,2007-11-01,2007-01-01,2.6
348672,2007,2007,11,1483,4,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,42,8301.71428571429,2007-11-01,2007-01-01,2.6
371681,2007,2007,11,1483,6,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,42,8849.54761904762,2007-11-01,2007-01-01,2.6
348672,2007,2007,11,1483,5,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,42,8301.71428571429,2007-11-01,2007-01-01,2.6
371681,2007,2007,11,1483,8,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,42,8849.54761904762,2007-11-01,2007-01-01,2.6
337168,2007,2007,11,1483,3,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,42,8027.80952380952,2007-11-01,2007-01-01,2.6
360176,2007,2007,11,1483,4,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,42,8575.61904761905,2007-11-01,2007-01-01,2.6
360176,2007,2007,11,1483,6,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0~5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5,42,8575.61904761905,2007-11-01,2007-01-01,2.6
95132,1986,2007,11,910,15,"corridor","individual_heating","management_in_trust",100,18,"0~5min","15min~20min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13,26,3658.92307692308,2007-11-01,1986-01-01,2.2
110619,1993,2007,11,914,1,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,26,4254.57692307692,2007-11-01,1993-01-01,2.525
163716,2005,2007,11,914,8,"mixed","individual_heating","management_in_trust",67,798,"0~5min","15min~20min",8,6,0,"Bangoge",5,2,0,1,5,0,3,4,4,4,7,13,15,26,6296.76923076923,2007-11-01,2005-01-01,0.025
232212,2007,2007,11,1103,24,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0~5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8,31,7490.70967741936,2007-11-01,2007-01-01,3.4
86725,1993,2007,11,644,15,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,18,4818.05555555556,2007-11-01,1993-01-01,2.525
172566,1993,2007,11,1761,4,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,49,3521.75510204082,2007-11-01,1993-01-01,2.525
194690,1993,2007,11,2337,18,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,66,2949.84848484848,2007-11-01,1993-01-01,2.525
36283,1992,2007,11,355,4,"corridor","individual_heating","management_in_trust",200,0,"10min~15min","5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17,10,3628.3,2007-11-01,1992-01-01,3.4
60176,1992,2007,11,576,14,"corridor","individual_heating","management_in_trust",200,0,"10min~15min","5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17,16,3761,2007-11-01,1992-01-01,3.4
88495,1993,2007,11,644,19,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,18,4916.38888888889,2007-11-01,1993-01-01,2.525
61946,1992,2007,11,576,8,"corridor","individual_heating","management_in_trust",200,0,"10min~15min","5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17,16,3871.625,2007-11-01,1992-01-01,3.4
81858,1992,2007,11,644,16,"mixed","individual_heating","self_management",142,79,"10min~15min","10min~15min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14,18,4547.66666666667,2007-11-01,1992-01-01,2.73333333333333
60176,1992,2007,11,576,11,"corridor","individual_heating","management_in_trust",200,0,"10min~15min","5min~10min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17,16,3761,2007-11-01,1992-01-01,3.4
191150,2007,2007,11,868,8,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0~5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10,24,7964.58333333333,2007-11-01,2007-01-01,2.31428571428571
408849,2007,2007,11,1643,4,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0~5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10,46,8888.02173913043,2007-11-01,2007-01-01,2.31428571428571
162831,1986,2007,11,1131,5,"terraced","central_heating","management_in_trust",713,0,"0~5min","5min~10min",7,8,27,"Kyungbuk_uni_hospital",5,1,1,0,1,1,3,1,1,1,4,9,6,32,5088.46875,2007-11-01,1986-01-01,3.88571428571429
203539,2007,2007,11,868,21,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0~5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10,24,8480.79166666667,2007-11-01,2007-01-01,2.31428571428571
94690,1986,2007,12,910,16,"corridor","individual_heating","management_in_trust",100,18,"0~5min","15min~20min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13,26,3641.92307692308,2007-12-01,1986-01-01,2.2
242920,2006,2007,12,1437,4,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0~5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7,40,6073,2007-12-01,2006-01-01,1.86666666666667
307964,2006,2007,12,1743,15,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0~5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7,49,6284.97959183673,2007-12-01,2006-01-01,1.86666666666667
287486,2007,2007,12,1366,19,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0~5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8,38,7565.42105263158,2007-12-01,2007-01-01,3.4
285840,2007,2007,12,1366,20,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0~5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8,38,7522.1052631579,2007-12-01,2007-01-01,3.4
132743,1993,2007,12,914,16,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,26,5105.5,2007-12-01,1993-01-01,2.525
176991,2007,2007,12,914,30,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0~5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8,26,6807.34615384615,2007-12-01,2007-01-01,3.4
323982,2007,2007,12,1448,30,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0~5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8,41,7902,2007-12-01,2007-01-01,3.4
92035,1993,2007,12,644,15,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,18,5113.05555555556,2007-12-01,1993-01-01,2.525
115044,1993,2007,12,914,9,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,26,4424.76923076923,2007-12-01,1993-01-01,2.525
137168,1993,2007,12,914,21,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,26,5275.69230769231,2007-12-01,1993-01-01,2.525
265486,2007,2007,12,1394,24,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0~5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8,39,6807.33333333333,2007-12-01,2007-01-01,3.4
97345,1993,2007,12,644,17,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,18,5408.05555555556,2007-12-01,1993-01-01,2.525
199469,2007,2007,12,1103,17,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0~5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8,31,6434.48387096774,2007-12-01,2007-01-01,3.4
290000,2007,2007,12,1366,18,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0~5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8,38,7631.57894736842,2007-12-01,2007-01-01,3.4
82300,1993,2007,12,644,8,"mixed","individual_heating","management_in_trust",523,536,"0~5min","10min~15min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17,18,4572.22222222222,2007-12-01,1993-01-01,2.525
